ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,weekday
97B89AAB9B198E79,electric_bike,"2023-12-11 13:59:00","2023-12-11 14:06:00","LaSalle St & Jackson Blvd",TA1309000004,"Desplaines St & Kinzie St",TA1306000003,42,-88,42,-88,member,7,Monday
A4C07709E63E1793,electric_bike,"2023-12-04 14:02:00","2023-12-04 14:09:00","LaSalle St & Jackson Blvd",TA1309000004,"Desplaines St & Kinzie St",TA1306000003,42,-88,42,-88,member,7,Monday
19DC76A4418CD3CB,classic_bike,"2023-12-15 13:23:00","2023-12-15 13:37:00","Wabash Ave & Roosevelt Rd",TA1305000002,"May St & Taylor St",13160,42,-88,42,-88,member,14,Friday
5DDA25B3CF58207C,classic_bike,"2023-12-28 08:41:00","2023-12-28 08:44:00","Clark St & Berwyn Ave",KA1504000146,"Clark St & Winnemac Ave",TA1309000035,42,-88,42,-88,member,3,Thursday
13A4BE41EC972171,electric_bike,"2023-12-11 08:13:00","2023-12-11 08:20:00","Ashland Ave & Grand Ave",13434,"Clinton St & Lake St",13021,42,-88,42,-88,member,7,Monday
7A9A8825874D45AA,electric_bike,"2023-12-15 12:30:00","2023-12-15 12:39:00","Green St & Washington Blvd",13053,"Ashland Ave & Division St",13061,42,-88,42,-88,member,9,Friday
6A0538797E0C8195,classic_bike,"2023-12-15 10:43:00","2023-12-15 10:51:00","Clark St & Berwyn Ave",KA1504000146,"Clark St & Winnemac Ave",TA1309000035,42,-88,42,-88,member,8,Friday
7155BC7657E31909,classic_bike,"2023-12-04 09:15:00","2023-12-04 09:21:00","Wilton Ave & Diversey Pkwy",TA1306000014,"Clark St & Wrightwood Ave",TA1305000014,42,-88,42,-88,member,6,Monday
980A21D385D0CE5D,electric_bike,"2023-12-13 18:37:00","2023-12-13 18:43:00","LaSalle St & Jackson Blvd",TA1309000004,"Clinton St & Lake St",13021,42,-88,42,-88,member,6,Wednesday
55B1F45697E74ED8,electric_bike,"2023-12-27 07:50:00","2023-12-27 07:57:00","Ashland Ave & Grand Ave",13434,"Hermitage Ave & Polk St",13080,42,-88,42,-88,member,7,Wednesday
6BBC0324395792F9,classic_bike,"2023-12-08 21:58:00","2023-12-08 22:00:00","Clark St & Berwyn Ave",KA1504000146,"Clark St & Winnemac Ave",TA1309000035,42,-88,42,-88,member,2,Friday
54688AD65BDC77AC,classic_bike,"2023-12-27 09:46:00","2023-12-27 09:52:00","Wilton Ave & Diversey Pkwy",TA1306000014,"Clark St & Wrightwood Ave",TA1305000014,42,-88,42,-88,member,6,Wednesday
120EE06794522157,classic_bike,"2023-12-14 20:22:00","2023-12-14 20:30:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Calumet Ave & 21st St",15546,42,-88,42,-88,member,8,Thursday
13EB8E6AD3A01AB6,classic_bike,"2023-12-29 19:36:00","2023-12-29 19:42:00","Ashland Ave & Grand Ave",13434,"Ashland Ave & Division St",13061,42,-88,42,-88,member,6,Friday
2E0D70AFC16AA70D,electric_bike,"2023-12-14 10:11:00","2023-12-14 10:14:00","Green St & Washington Blvd",13053,"Clinton St & Lake St",13021,42,-88,42,-88,member,3,Thursday
3EC3959E9BC0725A,classic_bike,"2023-12-07 22:53:00","2023-12-07 23:02:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,9,Thursday
C7503758C9D582A1,classic_bike,"2023-12-12 22:59:00","2023-12-12 23:02:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Tuesday
89861940099EBC22,electric_bike,"2023-12-01 12:02:00","2023-12-01 12:10:00","LaSalle St & Jackson Blvd",TA1309000004,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,8,Friday
149C450E440C1D9F,classic_bike,"2023-12-02 13:15:00","2023-12-02 13:18:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Saturday
C91F7D48FFFE0E6F,classic_bike,"2023-12-13 20:27:00","2023-12-13 20:30:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Wednesday
F644DFB151DE73C3,classic_bike,"2023-12-06 17:53:00","2023-12-06 17:55:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,2,Wednesday
C0B470963492915B,classic_bike,"2023-12-09 14:12:00","2023-12-09 14:16:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,4,Saturday
8D62DA202C4F8876,classic_bike,"2023-12-06 22:55:00","2023-12-06 22:58:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Wednesday
0E90E175E6DCA93C,classic_bike,"2023-12-20 16:51:00","2023-12-20 16:54:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Wednesday
C3F02F10BCB0780B,classic_bike,"2023-12-11 20:23:00","2023-12-11 20:26:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Monday
5C40A1178347A658,classic_bike,"2023-12-09 21:47:00","2023-12-09 21:50:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Saturday
